LEGAJO	CARRERA	FECHA_INGRESO	FECHA_INSCRIPCION	MODALIDAD_DES	MATERIAS APROBADAS CARRERA	MATERIAS REGULARES	PROMEDIO CON APLAZO	PROMEDIO SIN APLAZO	GENERO	COHORTE	PERIODO	SUBPERIODO	INGR / REINSC	FECHA_PAGO_MATRICULA	PROVINCIA_ALUMNO	ESTADO	ULTIMA_MATRICULA	ULTIMO_ARANCEL	NPS
1	Abogacía	15/2/2010	3/7/2023	Distancia - ED	14	2	4	5,61	Femenino	2010	feb-23	A-2-2023	Reinscripto	3/7/2023	Salta	MATRICULA PAGA	ene-24	ene-24	10
2	Abogacía	8/5/2018	21/6/2023	Distancia - ED	2	0	6	6,5	Masculino	2018	feb-23	A-2-2023	Reinscripto	21/6/2023	Buenos Aires	MATRICULA PAGA	feb-24	feb-24	9
3	Procurador	18/7/2023	18/7/2023	Distancia - ED	3	0	7	7,33	Masculino	2023	feb-23	A-2-2023	Ingresante	18/7/2023	Jujuy	MATRICULA PAGA	ene-24	ene-24	10
4	Abogacía	19/5/2009	28/6/2023	Distancia - MTD	30	0	9	9,05	Masculino	2021	feb-23	A-2-2023	Reinscripto	28/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	feb-23	9
5	Licenciatura En Comercialización	11/4/2014	18/6/2023	Distancia - MTD	11	0	4	5,58	Masculino	2014	feb-23	A-2-2023	Reinscripto	18/6/2023	Formosa	MATRICULA PAGA	ene-24	ene-23	6
6	Martillero, Corredor Público Y Corredor Inmobiliario	17/3/2023	14/7/2023	Distancia - MTD	5	0	7	7,08	Masculino	2023	feb-23	A-2-2023	Reinscripto	14/7/2023	Ciudad Autonoma De Buenos Aires	MATRICULA PAGA	feb-23	feb-23	10
7	Escribanía-Ciclo	27/1/2023	23/6/2023	Distancia - MTD	8	0	9	8,63	Femenino	2023	feb-23	A-2-2023	Reinscripto	23/6/2023	Chubut	MATRICULA PAGA	feb-23	feb-23	10
8	Abogacía	10/9/2020	25/7/2023	Distancia - MTD	13	0	10	9,66	Masculino	2020	feb-23	A-2-2023	Reinscripto	25/7/2023	Mendoza	MATRICULA PAGA	feb-23	ene-23	9
9	Martillero, Corredor Público Y Corredor Inmobiliario	21/7/2021	26/6/2023	Distancia - MTD	18	0	7	7,11	Masculino	2021	feb-23	A-2-2023	Reinscripto	26/6/2023	Cordoba	MATRICULA PAGA	feb-23	feb-23	10
10	Escribanía	20/1/2020	14/7/2023	Distancia - MTD	8	0	8	7,75	Masculino	2020	feb-23	A-2-2023	Reinscripto	14/7/2023	Buenos Aires	MATRICULA PAGA	feb-23	feb-23	8
11	Abogacía	25/2/2021	4/8/2023	Distancia - ED	19	0	7	7,48	Masculino	2021	feb-23	A-2-2023	Reinscripto	4/8/2023	Santa Fe	MATRICULA PAGA	ene-24	ene-24	9
12	Abogacía	31/8/2018	15/6/2023	Distancia - MTD	9	0	9	8,51	Masculino	2018	feb-23	A-2-2023	Reinscripto	15/6/2023	Ciudad Autonoma De Buenos Aires	MATRICULA PAGA	ene-24	ene-24	8
13	Escribanía-Ciclo	6/2/2023	28/6/2023	Distancia - MTD	8	0	9	8,88	Masculino	2023	feb-23	A-2-2023	Reinscripto	28/6/2023	Buenos Aires	MATRICULA PAGA	feb-23	feb-23	10
14	Abogacía	13/7/2021	11/7/2023	Distancia - MTD	27	0	8	7,93	Masculino	2021	feb-23	A-2-2023	Reinscripto	11/7/2023	La Rioja	MATRICULA PAGA	ene-24	ene-24	10
15	Abogacía	19/5/2020	15/6/2023	Distancia - MTD	19	0	8	8,1	Femenino	2020	feb-23	A-2-2023	Reinscripto	15/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	10
16	Abogacía	29/1/2021	13/6/2023	Distancia - MTD	21	1	6	6,79	Femenino	2022	feb-23	A-2-2023	Reinscripto	13/6/2023	Ciudad Autonoma De Buenos Aires	MATRICULA PAGA	ene-24	ene-24	9
17	Abogacía	17/2/2023	10/7/2023	Distancia - MTD	16	0	9	9,06	Masculino	2023	feb-23	A-2-2023	Reinscripto	10/7/2023	Buenos Aires	MATRICULA PAGA	feb-24	feb-24	10
18	Abogacía	30/6/2023	30/6/2023	Distancia - MTD	1	0	3	4	Masculino	2023	feb-23	A-2-2023	Ingresante	30/6/2023	Misiones	MATRICULA PAGA	ene-24	ene-24	10
19	Martillero, Corredor Público Y Corredor Inmobiliario	21/2/2023	7/8/2023	Distancia - MTD	6	0	9	9,17	Masculino	2023	feb-23	A-2-2023	Reinscripto	7/8/2023	Santa Fe	MATRICULA PAGA	ene-24	ene-24	7
20	Tecnicatura En Gestión De Empresas Familiares	4/7/2023	4/7/2023	Distancia - MTD	1	0	8	8	Femenino	2023	feb-23	A-2-2023	Ingresante	4/7/2023	Buenos Aires	MATRICULA PAGA	feb-23	feb-23	10
21	Martillero, Corredor Público Y Corredor Inmobiliario	23/2/2023	20/6/2023	Distancia - MTD	8	0	9	9,25	Masculino	2023	feb-23	A-2-2023	Reinscripto	20/6/2023	Buenos Aires	MATRICULA PAGA	feb-24	feb-24	0
22	Licenciatura En Administración Agraria	16/8/2023	16/8/2023	Distancia - MTD	7	0	7	7,29	Femenino	2023	feb-23	A-2-2023	Ingresante	16/8/2023	Ciudad Autonoma De Buenos Aires	MATRICULA PAGA	ene-24	ene-24	9
23	Abogacía	27/1/2023	20/7/2023	Distancia - MTD	9	0	8	8,11	Femenino	2023	feb-23	A-2-2023	Reinscripto	20/7/2023	Ciudad Autonoma De Buenos Aires	MATRICULA PAGA	ene-24	ene-24	10
24	Martillero, Corredor Público Y Corredor Inmobiliario	31/1/2023	5/6/2023	Distancia - MTD	7	0	9	8,71	Masculino	2023	feb-23	A-2-2023	Reinscripto	5/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	8
25	Abogacía	10/9/2020	14/6/2023	Distancia - MTD	18	0	8	8,45	Femenino	2020	feb-23	A-2-2023	Reinscripto	14/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	8
26	Abogacía	1/7/2022	20/6/2023	Distancia - MTD	10	0	7	7,4	Femenino	2023	feb-23	A-2-2023	Reinscripto	20/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	1
27	Licenciatura En Antropología Organizacional	23/5/2023	27/6/2023	Distancia - MTD	10	0	8	7,5	Masculino	2023	feb-23	A-2-2023	Reinscripto	27/6/2023	Santa Fe	MATRICULA PAGA	ene-24	ene-24	10
28	Procurador	18/11/2022	12/6/2023	Distancia - MTD	9	0	9	9,22	Femenino	2023	feb-23	A-2-2023	Reinscripto	12/6/2023	Buenos Aires	MATRICULA PAGA	feb-23	feb-23	9
29	Martillero, Corredor Público Y Corredor Inmobiliario	4/8/2023	4/8/2023	Distancia - ED	4	0	9	8,5	Femenino	2023	feb-23	A-2-2023	Ingresante	4/8/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	10
30	Martillero, Corredor Público Y Corredor Inmobiliario	10/1/2023	5/6/2023	Distancia - ED	6	0	8	8,5	Masculino	2023	feb-23	A-2-2023	Reinscripto	5/6/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	9
31	Abogacía	31/1/2019	6/6/2023	Distancia - MTD	3	0	10	9,97	Femenino	2019	feb-23	A-2-2023	Reinscripto	6/6/2023	Buenos Aires	MATRICULA PAGA	feb-24	feb-24	10
32	Abogacía	27/12/2022	21/6/2023	Distancia - ED	10	1	6	6,49	Masculino	2023	feb-23	A-2-2023	Reinscripto	21/6/2023	Santiago Del Estero	MATRICULA PAGA	feb-24	feb-23	10
33	Abogacía	2/7/2020	26/6/2023	Distancia - MTD	18	1	9	9,02	Femenino	2020	feb-23	A-2-2023	Reinscripto	26/6/2023	Cordoba	MATRICULA PAGA	ene-24	feb-23	10
34	Abogacía	26/2/2020	8/8/2023	Distancia - MTD	11	0	9	8,88	Masculino	2020	feb-23	A-2-2023	Reinscripto	8/8/2023	Buenos Aires	MATRICULA PAGA	feb-23	ene-23	9
35	Abogacía	23/11/2018	16/8/2023	Distancia - ED	4	0	7	7,38	Masculino	2019	feb-23	A-2-2023	Reinscripto	16/8/2023	Cordoba	MATRICULA PAGA	feb-23	ene-23	5
36	Licenciatura En Gestión Ambiental	5/7/2023	5/7/2023	Distancia - MTD	13	0	7	7,29	Masculino	2023	feb-23	A-2-2023	Ingresante	5/7/2023	Misiones	MATRICULA PAGA	ene-24	ene-24	10
37	Abogacía	22/8/2018	17/6/2023	Distancia - ED	5	0	5	5,68	Masculino	2018	feb-23	A-2-2023	Reinscripto	17/6/2023	Tucuman	MATRICULA PAGA	ene-24	ene-24	7
38	Licenciatura En Gerontología	22/3/2022	10/6/2023	Distancia - MTD	23	0	8	7,7	Femenino	2022	feb-23	A-2-2023	Reinscripto	10/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	10
39	Martillero, Corredor Público Y Corredor Inmobiliario	9/9/2022	6/6/2023	Distancia - MTD	18	0	9	9,39	Femenino	2022	feb-23	A-2-2023	Reinscripto	6/6/2023	Santa Fe	MATRICULA PAGA	ene-24	ene-24	9
40	Abogacía	10/12/2008	13/7/2023	Distancia - ED	22	1	9	8,88	Masculino	2009	feb-23	A-2-2023	Reinscripto	13/7/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	9
41	Abogacía	20/11/2020	13/7/2023	Distancia - MTD	12	0	7	7,38	Femenino	2021	feb-23	A-2-2023	Reinscripto	13/7/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	9
42	Abogacía	28/3/2019	26/9/2023	Distancia - MTD	6	0	9	8,82	Masculino	2019	feb-23	B-2-2023	Reinscripto	26/9/2023	Mendoza	MATRICULA PAGA	ene-24	ene-24	8
43	Abogacía	8/7/2021	28/6/2023	Distancia - MTD	25	0	9	8,56	Masculino	2021	feb-23	A-2-2023	Reinscripto	28/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	8
44	Abogacía	19/1/2022	7/6/2023	Distancia - MTD	31	1	9	8,84	Masculino	2022	feb-23	A-2-2023	Reinscripto	7/6/2023	La Pampa	MATRICULA PAGA	ene-24	ene-24	10
45	Abogacía	6/2/2015	11/7/2023	Distancia - ED	0	1	8	7,8	Femenino	2015	feb-23	A-2-2023	Reinscripto	11/7/2023	Salta	MATRICULA PAGA	feb-23	ene-23	0
46	Abogacía	31/7/2023	31/7/2023	Distancia - MTD	1	0	8	8	Sin dato	2024	feb-23	A-2-2023	Ingresante	31/7/2023	Mendoza	MATRICULA PAGA	feb-24	feb-24	10
47	Licenciatura En Informática	21/12/2018	11/7/2023	Distancia - MTD	16	1	7	7,43	Masculino	2019	feb-23	A-2-2023	Reinscripto	11/7/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-23	10
